Isolate,T,mumax,sqrt_mumax
193,8,0,0
193,8,0,0
193,10,0.603205562,0.776663095
193,10,0.59901684,0.773961782
193,22,4.388120059,2.094784013
193,22,8.636503427,2.938792852
194,8,0,0
194,8,0,0
194,10,0.697995692,0.835461365
194,10,1.11824205,1.057469645
194,22,11.26576319,3.356450982
194,22,9.315643349,3.052153887
402,8,0,0
402,8,0,0
402,10,1.227233736,1.10780582
402,10,0.529349862,0.727564335
402,22,5.033308361,2.243503591
402,22,4.775339557,2.185255032
407,8,0,0
407,8,0,0
407,10,0.375612445,0.612872291
407,10,0.664548566,0.815198483
407,22,5.082981482,2.254546846
407,22,5.030131378,2.242795438
413,8,0,0
413,8,0,0
413,10,8.563397193,2.926328278
413,10,1.309058946,1.144141139
413,22,3.592642863,1.895426829
413,22,4.053468545,2.013322762
433,8,0,0
433,8,0,0
433,10,0.551544921,0.742660704
433,10,0.648232141,0.805128649
433,22,3.236266992,1.798962755
433,22,3.412317259,1.847245858
457,8,0,0
457,8,0,0
457,10,0.900082206,0.948726624
457,10,0.711636783,0.84358567
457,22,5.0416795,2.245368455
457,22,4.170535648,2.042188936
474,8,0,0
474,8,0,0
474,10,0.661811945,0.813518251
474,10,0.655615992,0.809701175
474,22,6.438595685,2.537438804
474,22,4.121868107,2.030238436
495,8,0,0
495,8,0,0
495,10,0.348550876,0.590381975
495,10,0.923114368,0.96078841
495,22,6.677120976,2.584012573
495,22,6.041633037,2.45797336
518,8,0,0
518,8,0,0
518,10,0.897119239,0.947163787
518,10,0.709053942,0.842053408
518,22,4.610262489,2.147152181
518,22,14.72352444,3.837124502
536,8,0,0
536,8,0,0
536,10,1.068221999,1.033548257
536,10,0.587919858,0.766759322
536,22,18.54183812,4.306023469
536,22,4.003325284,2.000831148
564,8,0,0
564,8,0,0
564,10,1.107993135,1.052612528
564,10,1.468738619,1.211915269
564,22,10.57037028,3.251210587
564,22,8.089809099,2.844258972
570,8,0,0
570,8,0,0
570,10,1.098805646,1.048239308
570,10,1.010319461,1.005146488
570,22,5.648614078,2.376681316
570,22,3.962258758,1.990542328
638,6,0,0
638,6,0,0
638,10,0.343918405,0.586445569
638,10,0.9740395,0.986934395
638,22,5.305290628,2.303321651
638,22,7.380449169,2.716698211
649,8,0,0
649,8,0,0
649,10,0.820941096,0.906057998
649,10,0.471559944,0.686702224
649,22,4.029488536,2.007358597
649,22,4.472419189,2.114809492
