"","isolate","Q0","Nmax","b","Tmin","Clade"
"1",125,7.25705027621704e-07,659184.598523894,0.303807648511495,9.22249705742761,"I"
"2",193,0.000483377859378916,3051843.63724857,0.167684836260396,6.78908846749202,"II"
"3",194,5.50849243033752e-07,4767989.1727895,0.214671186208799,6.88819067424386,"VII"
"4",402,1.91075170654178e-09,2329223.88231247,0.129340496468862,4.25524066911024,"IV"
"5",407,0.00262845315987102,2653526.53950811,0.149200698369159,6.71418346322743,"IV"
"6",413,0.0125689276817583,12624203.1418679,0.127599921286951,4.87984246378562,"IV"
"7",433,0.00257754526039351,6518274.59878149,0.115296251152236,5.82511138627934,"IV"
"8",457,0.000782534730054091,1731515.741232,0.135980972913925,5.8813881284017,"II"
"9",474,0.00159511626116225,2566562.38833696,0.149022698094407,6.40939600291887,"III"
"10",495,0.00222412880875734,5511551.9494641,0.16799470345441,6.7922763584353,"IV"
"11",518,2.40852791046357e-05,5673428.87569486,0.200144901541889,6.86008343740316,"II"
"12",536,2.91383308350819e-06,3687750.65872081,0.21334210483149,7.06256983043508,"VII"
"13",564,0.000104910429668844,4954358.34418199,0.197437841799542,6.27624576290391,"II"
"14",570,0.0081807328300822,8022484.14237284,0.135195022847907,5.41805850534546,"V"
"15",638,0.00305198727950995,3513083.44587542,0.153815944546569,5.52250748964139,"V"
"16",649,0.00478067300336062,4163228.90042673,0.149130711864627,6.4583829827179,"IV"
