PS00193,,,PS00194,,,PS00413,,,PS00433,,,PS00457,,,PS00474,,,PS00125,,,PS00495,,,PS00564,,,PS00570,,,PS00135,,,PS00518,,,PS00407,,,PS00402,,,PS00649,,,PS00638,,,PS00536,,
Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2,Time (h),Rep 1,Rep 2
0,3.579783597,3.87506126,0,3.788875116,3.06069784,0,3.913813852,2.977494969,0,3.76342799,3.314920056,0,3.792391689,3.187520721,0,3.607455023,3.955928157,0,3.439332694,3.414973348,0,3.67669361,3.71432976,0,3.939519253,3.507855872,0,3.531478917,3.980911938,0,3.872156273,3.596597096,0,3.525044807,3.293362555,0,3.74036269,3.666049738,0,3.602059991,3.766784515,0,3.562292864,3.113943352,0,3.77815125,3.999565488,0,3.822821645,3.558708571
1,3.667452953,3.95424251,1,3.838849091,3.120573931,1,3.939519253,3.25791845,1,3.781755375,3.662190991,1,3.841984805,3.317018101,1,3.653212514,4.128722284,1,3.431363764,3.414973348,1,3.71180723,3.78497371,1,4.079181246,3.532754379,1,3.579783597,4.108903128,1,3.638489257,3.612783857,1,3.96378783,3.122215878,1,3.792391689,3.664171705,1,3.685741739,3.784260583,1,3.62838893,3.079181246,1,3.802773725,4.276461804,1,3.931966115,3.535926741
2,3.720159303,3.86033801,2,3.959041392,3.62838893,2,4.008600172,3.692406235,2,3.851258349,3.777064155,2,3.95182304,3.068185862,2,3.822821645,4.343408594,2,3.361727836,3.389166084,2,3.8,3.8,2,4.006466042,3.562292864,2,3.785329835,4.209515015,2,3.685741739,3.544068044,2,4.144574208,3.1430148,2,3.872156273,3.660865478,2,3.916453949,3.802773725,2,3.77815125,3.075546961,2,3.86332286,4.31386722,2,4.07371835,3.591621038
4,3.942008053,3.86628734,4,4.066325925,3.441695136,4,4.10720997,3.913548958,4,4.080987047,3.822494985,4,4.075546961,3.601516784,4,4.053078443,4.527629901,4,3.423245874,3.217483944,4,3.997823081,3.924795996,4,3.835690571,3.566437492,4,4.01494035,4.328379603,4,3.707570176,3.703291378,4,4.204119983,3.240549248,4,3.973127854,3.721810615,4,4.105510185,3.821513528,4,3.939519253,3.210853365,4,3.961421094,4.191730393,4,4.209515015,3.788521887
6,4.062581984,3.72835378,6,4.170261715,3.532754379,6,4.204119983,3.839478047,6,4.217483944,4.007320953,6,4.165837625,3.527629901,6,4.156851901,4.639984248,6,3.462397998,3.447158031,6,4.15836249,3.930184652,6,3.81,3.550839605,6,4.220108088,4.44870632,6,3.763427994,3.759667845,6,4.23299611,3.144574208,6,4.08098705,3.800373355,6,4.247973266,3.83346586,6,4.037426498,3.31386722,6,4.037426498,4.622473071,6,4.321184027,3.748962861
8,4.15075644,3.83569057,8,4.2955671,3.763802224,8,4.322219295,4.02201574,8,4.329397879,5.185117001,8,4.305351369,4.06694679,8,4.302114377,4.831869774,8,3.498310554,3.58546073,8,4.36078269,4.039414119,8,3.880813592,3.57634135,8,4.302114377,4.518842826,8,3.77815125,3.752048448,8,4.276461804,3.307496038,8,4.204119983,3.860338007,8,4.321184027,3.998041264,8,4.208172527,3.357934847,8,4.191730393,4.827853706,8,4.419955748,3.879382637
14,5.467608106,5.15381486,14,3.806179974,3.664641976,14,4.756636108,4.688419822,14,5.324968003,5.320146286,14,4.618048097,4.516535374,14,4.989449818,5.881954971,14,3.531478917,3.740362689,14,4.180890142,5.677606953,14,4.056904851,3.870111155,14,4.584048388,5.678973376,14,3.568201724,4.010723865,14,4.711975854,2.893484346,14,4.624024125,4.746893557,14,4.508529719,5.003460532,14,4.756128755,4.123851641,14,5.678973376,4.584613876,14,4.080385947,3.731588765
15,5.435366507,5.42732379,15,3.785329835,3.64738297,15,4.754348336,4.757396029,15,5.607990859,5.325310372,15,4.65079304,4.39880773,15,5.652729696,5.998477303,15,3.562292864,4.229169703,15,4.26245109,5.716837723,15,4.620136055,4.247154615,15,4.526339277,5.675319983,15,3.618048097,4.138302698,15,4.81571054,3.075546961,15,4.7084209,4.992995098,15,4.51054501,5.106077519,15,4.919601024,4.216165902,15,5.745074792,4.918554531,15,4.088136089,3.766412847
16,5.651762447,6.1383027,16,3.800029359,3.594944737,16,4.993289236,5.165837625,16,5.454082271,5.540329475,16,4.7355989,4.507855872,16,6.035429738,6.197280558,16,3.568201724,5.112269768,16,4.301753217,5.910357557,16,4.936513742,4.614633608,16,4.978066334,5.792391689,16,3.698970004,4.911157609,16,4.811127971,3.197280558,16,4.753391529,5.141449773,16,4.671172843,5.422425676,16,5.113943352,4.394889257,16,6.087248868,5.118925753,16,4.119475841,3.781755375
18,5.886490725,6.31910606,18,3.827046017,3.702430536,18,5.597695186,5.667919685,18,5.919601024,5.882239848,18,4.932854113,5.005180513,18,6.668851648,6.631950826,18,4.15075644,5.209515015,18,4.943123377,6.201397124,18,5.809896247,5.127671604,18,5.269512944,6.208172527,18,4.041392685,5.147676324,18,5.744488567,3.425697213,18,5.051152522,5.556905269,18,5.131939295,5.830267801,18,5.626340367,4.946820571,18,6.335457901,5.669316881,18,4.153814864,3.78497371
20,6.273001272,6.79588002,20,3.903361336,4.191078229,20,5.631950826,5.922725458,20,6.128722284,6.040404529,20,4.968794159,6.049992857,20,6.774151859,6.868056362,20,4.210853365,5.854306042,20,5.095169351,6.75089392,20,6.344392274,5.742332282,20,5.566437492,6.472024698,20,4.131939295,5.908485019,20,5.96449534,3.986099625,20,5.587149498,5.934245881,20,5.273001272,6.234264124,20,6.174641193,5.549003262,20,6.39707055,6.191730393,20,4.071882007,3.870988814
22,6.53529412,6.89762709,22,4.041195234,4.285557309,22,6.539076099,5.979548375,22,6.693726949,6.528273777,22,6.032820149,6.183269844,22,6.860936621,6.846646329,22,4.8865,6.045322979,22,5.686636269,6.974511693,22,6.678518379,6.244277121,22,6.025305865,6.638489257,22,4.991226076,6.108903128,22,6.183412212,4.784082118,22,5.816903839,6.141449773,22,5.951337519,6.268343914,22,6.393575203,6.139879086,22,6.836324116,6.679881942,22,4.089905111,4.432969291
24,7.073107098,7.017033339,24,5.068185862,5.1430148,24,6.267171728,6.90579588,24,6.95724802,7.156094631,24,6.277609214,6.270678836,24,7.037426498,6.936764998,24,5.229169703,5.19728056,24,6.383815366,6.983851719,24,6.977723605,6.715167358,24,6.985875357,6.856426772,24,5.200029267,5.934498451,24,6.118925753,6.2999429,24,6.680335513,6.684845362,24,6.256477206,6.409933123,24,6.300486788,6.410777233,24,6.988893244,7.0757294,24,6.170261715,5.940267391
27,7.002274082,6.964966375,27,5.983400738,6.481442629,27,6.907545713,7.056904851,27,7.127914294,7.029383778,,,,27,7.014835435,7.167317335,27,5.202760687,5.27067884,27,6.91999281,7.035229556,27,6.888319929,6.596047008,27,6.983739018,7.136720567,27,6.164352856,5.984527313,27,6.730984038,6.697665163,27,6.664955206,6.857332496,27,6.890560731,6.774151859,27,6.705863712,6.532117116,27,7.096040554,7.159867847,27,6.446381812,6.322736004
30,7.079181246,7.073259992,30,6.589391023,6.606381365,30,6.911157609,7.15330662,30,7.166331422,7.124667218,,,,30,7.015254942,NA,30,5.1775365,5.8419848,30,6.846027675,N/A,30,6.857633985,6.831389802,30,7.099248894,7.120244796,30,5.26245109,N/A,30,6.763615149,6.584613876,30,6.732795698,6.77815125,30,6.822494985,6.874046726,30,7.080085085,6.81391442,30,7.067442843,N/A,30,6.911024369,6.919731658
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,7.072801149,6.925827575,,,,,,,32,7.033423755,7.013679697
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
