Isolate,T,mumax (ln CFU/mL per h),mumax (log10 CFU/mL per day),sqrt_mumax (sqrt_log10 CFU/mL per day)
193,22,0.421003985,4.387362417,2.094603165
194,22,1.080834519,11.26358162,3.356125984
402,22,0.482906567,5.032460971,2.243314729
407,22,0.487670779,5.082109724,2.254353505
413,22,0.474096222,4.940646695,2.222756553
433,22,0.3104931,3.235707512,1.798807247
457,22,0.483718454,5.040921792,2.245199722
474,22,0.617732414,6.437506704,2.537224212
495,22,0.640614456,6.675964802,2.583788846
518,22,0.442321993,4.60952142,2.146979604
536,22,1.778952663,18.53880326,4.305671058
564,22,1.014135964,10.56850332,3.250923456
570,22,0.54193692,5.647627481,2.376473749
638,22,0.508999307,5.304378363,2.30312361
649,22,0.386608297,4.028918421,2.007216585
193,22,0.82860073,8.635005435,2.938537976
194,22,0.893752579,9.313965223,3.051878966
402,22,0.458155439,4.774524771,2.185068596
407,22,0.482599817,5.029264266,2.242602119
413,22,0.388921564,4.053025415,2.01321271
433,22,0.3273839,3.411729744,1.847086826
457,22,0.400136451,4.169897878,2.042032781
474,22,0.395458081,4.121143703,2.030060025
495,22,0.57964468,6.040587198,2.457760606
518,22,1.412595625,14.72092705,3.836786031
536,22,0.384087449,4.002648188,2.000661938
564,22,0.776149175,8.088397834,2.844010871
570,22,0.380145741,3.961570902,1.990369539
638,22,0.708092629,7.379167647,2.71646234
649,22,0.624558135,6.508638834,2.551203409
193,10,0.057872657,0.603101936,0.776596379
194,10,0.066966707,0.697872766,0.835387794
402,10,0.34221123,3.566248164,1.888451261
407,10,0.0360369,0.375547375,0.612819203
413,10,0.1143,1.191141989,1.091394516
433,10,0.05291614,0.55144914,0.742596216
457,10,0.086355314,0.89992511,0.948643827
474,10,0.063495431,0.66169793,0.813448173
495,10,0.033440375,0.348488494,0.590329141
518,10,0.086071161,0.896963899,0.947081781
536,10,0.087180782,0.908527474,0.953167076
564,10,0.106302397,1.107797452,1.052519573
570,10,0.105421246,1.098614809,1.048148276
638,10,0.032996302,0.343860729,0.586396392
649,10,0.078762436,0.820798287,0.905979187
193,10,0.05747046,0.598910564,0.773893122
194,10,0.107286034,1.118048118,1.057377945
402,10,0.050789459,0.529286585,0.727520848
407,10,0.063766407,0.664521827,0.815182082
413,10,0.125593307,1.308831681,1.144041818
433,10,0.062192804,0.64812301,0.805060874
457,10,0.068275638,0.711513374,0.843512522
474,10,0.062904304,0.655537691,0.809652821
495,10,0.088565142,0.922954153,0.960705029
518,10,0.068027787,0.70893048,0.841980094
536,10,0.056404747,0.587804575,0.766684143
564,10,0.140913188,1.468483073,1.211809834
570,10,0.096932777,1.010154866,1.005064608
638,10,0.093429871,0.973650416,0.986737258
649,10,0.045242446,0.471480119,0.686644099
193,8,0,0,0
194,8,0,0,0
402,8,0,0,0
407,8,0,0,0
413,8,0,0,0
433,8,0,0,0
457,8,0,0,0
474,8,0,0,0
495,8,0,0,0
518,8,0,0,0
536,8,0,0,0
564,8,0,0,0
570,8,0,0,0
638,6,0,0,0
649,8,0,0,0
193,8,0,0,0
194,8,0,0,0
402,8,0,0,0
407,8,0,0,0
413,8,0,0,0
433,8,0,0,0
457,8,0,0,0
474,8,0,0,0
495,8,0,0,0
518,8,0,0,0
536,8,0,0,0
564,8,0,0,0
570,8,0,0,0
638,6,0,0,0
649,8,0,0,0
