isolate,Q0,Nmax,b,Tmin,group
193,0.180905177,3051843.639,0.167669731,6.789088467,II
194,0.041784709,4767989.175,0.214651848,6.888190673,VII
402,0.090091719,2329223.881,0.129328845,4.25524067,IV
407,0.337252331,2653526.539,0.149187258,6.714183463,IV
413,0.259105228,12624203.15,0.127588427,4.879842462,IV
433,0.10993676,6518274.599,0.115285865,5.825111386,IV
457,0.166875513,1731515.741,0.135968723,5.881388127,II
474,0.378336955,2566562.389,0.149009274,6.409396003,III
495,0.193816924,5511551.95,0.16797957,6.792276358,IV
518,0.088460938,5673428.876,0.200126872,6.860083438,II
536,0.186961691,3687750.659,0.213322886,7.06256983,VII
564,0.077573246,4954358.344,0.197420056,6.276245763,II
570,0.264407787,8022484.141,0.135182844,5.418058505,V
638,1.713771238,3513083.445,0.153802088,5.52250749,V
649,0.19402223,4163228.899,0.149117278,6.458382982,IV
